date,title,amount
2026-01-07,Apple.Com/Bill,66.90
2026-01-06,Uber Uber *Trip Help.U,31.79
2026-01-06,Uber Uber *Trip Help.U,29.00
2026-01-06,Apple.Com/Bill,9.99
2026-01-05,Uber Uber *Trip Help.U,36.19
2026-01-05,Uber Uber *Trip Help.U,42.79
2026-01-05,Github Inc.,79.39
2026-01-05,Uber Uber *Trip Help.U,31.96
2026-01-05,Tragga R,374.64
2026-01-05,IOF de compra internacional,2.77
2026-01-04,Uber Uber *Trip Help.U,42.03
2026-01-04,Ifood Club,5.95
2026-01-04,Uber Uber *Trip Help.U,40.04
2026-01-04,Instituto de Desenvo,23.98
2026-01-03,Whoosh Br Al*Patinetes,4.00
2026-01-03,Whoosh Br Al*Patinetes,4.00
2026-01-03,Pag*Steam - Parcela 2/3,81.36
2026-01-03,Whoosh Br Al*Patinetes,4.00
2026-01-03,Whoosh Br Al*Patinetes,4.00
2026-01-03,Whoosh Br Al*Patinetes,4.00
2026-01-03,Herbert Moises Marcelino Filho - 8/8,18.64
2026-01-03,Mp *Aliexpress - Parcela 4/6,45.44
2026-01-03,Whoosh Br Al*Patinetes,6.00
2026-01-03,Mp *Angradosreisturis - Parcela 3/6,38.58
2026-01-03,Whoosh Br Al*Patinetes,6.00
2026-01-03,Airbnb * Hmjqt8jjb4 - Parcela 4/6,176.03
2026-01-03,Localiza Rent A Car - Parcela 3/3,87.73
2026-01-03,Herbert Moises Marcelino Filho - 4/5,70.34
2026-01-03,Mercadolivre*5produto - Parcela 3/10,42.32
2026-01-03,Whoosh Br Al*Patinetes,17.80
2026-01-03,Dr Bh - Parcela 2/4,100.55
2026-01-03,Whoosh Br Al*Patinetes,4.25
2026-01-03,Whoosh Br Al*Patinetes,43.99
2026-01-03,Mercadolivre*5produtos - Parcela 3/10,35.12
2026-01-03,Whoosh Br Al*Patinetes,6.00
2026-01-03,Pb*Milie - Parcela 2/3,132.55
2026-01-03,Petz Contagem - Parcela 2/3,84.68
2026-01-03,Isabela Flores - Parcela 2/3,99.93
2026-01-03,Whoosh Br Al*Patinetes,5.34
2026-01-03,Whoosh Br Al*Patinetes,2.01
